bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI69304,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,1 to 9,Health,24 hours to 72 hours
BI69305,2025,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,Unknown,Health,More than 1 week
BI69309,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,More than 1 week
BI69311,2025,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,Less than 24 hours
BI69318,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI69318,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI69319,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI69319,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI69320,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI69320,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI69323,2025,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI69328,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,10 to 99,Health,Less than 24 hours
BI69328,2025,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,10 to 99,Health,Less than 24 hours
